Metric,Pseudo Other_P,Pseudo Oral Cav_,Pseudo Midline_P,PTV2 edit_P,PTV2_P,PTV1 edit_P,PTV1_P,Lt Par edit_P,Body_P,Annulus High_P,Annulus Low_P,BS + 5mm_P,Optic Chiasm_P,R Optic Nerve_P,L Optic Nerve_P,R Lens_P,L Lens_P,L Orbit_P,R Orbit_P,R Parotid_P,L Parotid_P,Brain Stem_P,Spinal Cord_P,CTV54_P,GTV+ 10MM_P,GTV_P,CTV65_P,Pseudo Post_P,Rt Par edit_P,SC + 3mm_P,SC + 5mm_P,Pseudo PTV1_P,Pseudo PTV2_P,Artifact Dental_,ArtifactContrast,Dose 6175[cGy]_P,Dose 5130[cGy]_P,PseudoPostBrain_,Dummy_P
Structure,Pseudo Other_P,Pseudo Oral Cav_,Pseudo Midline_P,PTV2 edit_P,PTV2_P,PTV1 edit_P,PTV1_P,Lt Par edit_P,Body_P,Annulus High_P,Annulus Low_P,BS + 5mm_P,Optic Chiasm_P,R Optic Nerve_P,L Optic Nerve_P,R Lens_P,L Lens_P,L Orbit_P,R Orbit_P,R Parotid_P,L Parotid_P,Brain Stem_P,Spinal Cord_P,CTV54_P,GTV+ 10MM_P,GTV_P,CTV65_P,Pseudo Post_P,Rt Par edit_P,SC + 3mm_P,SC + 5mm_P,Pseudo PTV1_P,Pseudo PTV2_P,Artifact Dental_,ArtifactContrast,Dose 6175[cGy]_P,Dose 5130[cGy]_P,PseudoPostBrain_,Dummy_P
Approval Status,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved
Plan,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA,Case1_AAA
Course,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volume [cmÂ³],22.1,115.4,89.7,207.4,228.5,469.0,504.8,14.6,12173.4,711.0,1291.8,70.5,0.4,0.5,0.4,0.1,0.2,7.5,7.7,16.6,24.5,31.6,26.2,135.4,103.0,18.0,340.3,176.0,12.1,58.0,86.5,521.6,206.7,52.2,51.5,505.7,1071.2,135.7,1.5
Dose Cover.[%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sampling Cover.[%],100.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.7,100.1,99.8,100.1,100.2,100.0,99.9,100.0,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.1,100.0,100.2
Min Dose [%],69.7,35.5,38.8,77.9,0.5,92.5,0.0,23.6,0.0,0.0,0.0,5.4,7.6,5.3,6.2,3.3,3.5,3.0,2.7,23.2,23.6,6.6,6.5,50.8,83.6,102.0,30.1,3.8,23.2,6.2,5.6,77.3,69.7,6.0,7.5,86.0,31.0,9.5,95.3
Max Dose [%],101.8,93.6,86.4,108.4,108.4,112.8,112.8,97.2,112.8,111.1,104.0,98.7,10.5,8.5,8.4,4.2,4.4,7.2,7.3,107.1,109.5,84.5,70.9,110.1,110.7,110.0,111.2,79.5,97.1,75.6,81.1,112.8,99.7,109.6,110.0,112.8,112.8,74.0,110.8
Mean Dose [%],85.7,63.1,64.8,88.3,87.2,105.5,103.8,62.0,26.4,73.2,57.4,42.5,9.0,6.6,7.3,3.7,3.9,4.5,4.3,62.4,77.9,41.4,55.1,89.0,105.8,106.5,105.5,54.5,49.2,54.7,54.4,105.0,87.5,84.9,71.4,105.3,98.0,36.9,105.8
Modal Dose [%],85.6,56.0,63.6,87.7,87.7,105.7,105.7,52.0,0.7,0.0,67.8,7.2,9.0,7.0,6.9,3.5,3.8,3.9,3.8,105.0,103.9,8.1,61.2,87.7,106.7,106.7,106.3,55.5,33.0,61.2,61.2,105.7,87.7,106.6,105.8,105.7,105.7,35.5,106.6
Median Dose [%],85.7,62.7,64.5,87.8,87.6,105.6,105.5,62.1,7.6,86.0,62.6,46.1,9.0,6.7,7.3,3.7,3.9,4.4,4.2,56.1,80.5,41.9,60.4,88.0,106.2,106.6,105.8,55.4,44.5,60.2,60.1,105.4,87.5,93.1,87.0,105.5,101.3,37.0,105.9
STD [%],2.7,10.7,4.4,3.2,6.4,1.8,9.0,16.7,32.3,33.1,20.1,28.1,0.5,0.6,0.4,0.2,0.2,0.9,0.9,26.7,23.5,25.7,14.6,4.5,2.2,1.2,3.0,8.5,17.8,15.6,16.5,2.5,1.9,22.3,35.3,2.0,8.4,12.0,1.8
